Instancia: Instancias/comp01.ctt, Melhor solução: 2385, Iterações: 1490, Média: 2657.2, Mínimo: 2385
Instancia: Instancias/comp02.ctt, Melhor solução: 7694, Iterações: 214, Média: 8073.0, Mínimo: 7694
Instancia: Instancias/comp03.ctt, Melhor solução: 5433, Iterações: 265, Média: 5749.2, Mínimo: 5433
Instancia: Instancias/comp04.ctt, Melhor solução: 5270, Iterações: 230, Média: 5456.8, Mínimo: 5270
Instancia: Instancias/comp05.ctt, Melhor solução: 3339, Iterações: 722, Média: 3909.2, Mínimo: 3339
Instancia: Instancias/comp06.ctt, Melhor solução: 7579, Iterações: 129, Média: 7916.2, Mínimo: 7579
Instancia: Instancias/comp07.ctt, Melhor solução: 7697, Iterações: 82, Média: 7811.0, Mínimo: 7697
Instancia: Instancias/comp08.ctt, Melhor solução: 5042, Iterações: 164, Média: 5536.0, Mínimo: 5042
Instancia: Instancias/comp09.ctt, Melhor solução: 5206, Iterações: 219, Média: 5317.4, Mínimo: 5206
Instancia: Instancias/comp10.ctt, Melhor solução: 6669, Iterações: 118, Média: 6758.4, Mínimo: 6669
Instancia: Instancias/comp11.ctt, Melhor solução: 2102, Iterações: 1448, Média: 2198.6, Mínimo: 2102
Instancia: Instancias/comp12.ctt, Melhor solução: 3092, Iterações: 301, Média: 3446.8, Mínimo: 3092
Instancia: Instancias/comp13.ctt, Melhor solução: 6617, Iterações: 197, Média: 6869.2, Mínimo: 6617
Instancia: Instancias/comp14.ctt, Melhor solução: 5130, Iterações: 247, Média: 5252.4, Mínimo: 5130
Instancia: Instancias/comp15.ctt, Melhor solução: 5140, Iterações: 321, Média: 5527.4, Mínimo: 5140
Instancia: Instancias/comp16.ctt, Melhor solução: 6709, Iterações: 130, Média: 6849.8, Mínimo: 6709
Instancia: Instancias/comp17.ctt, Melhor solução: 6244, Iterações: 180, Média: 6528.2, Mínimo: 6244
Instancia: Instancias/comp18.ctt, Melhor solução: 1729, Iterações: 882, Média: 1847.6, Mínimo: 1729
Instancia: Instancias/comp19.ctt, Melhor solução: 5339, Iterações: 284, Média: 5795.2, Mínimo: 5339
Instancia: Instancias/comp20.ctt, Melhor solução: 9283, Iterações: 118, Média: 9424.2, Mínimo: 9283
Instancia: Instancias/comp21.ctt, Melhor solução: 6284, Iterações: 186, Média: 6449.6, Mínimo: 6284
